borough,location_i,objectid,shape_area,shape_leng,zone,longitude,latitude
Queens,226.0,226.0,0.00076194414504,0.168957762041,Sunnyside,-73.92653501382505,40.735242117030516
Staten Island,221.0,221.0,0.000890111567051,0.166218220846,Stapleton,-74.07235480045112,40.62023083199988
Brooklyn,222.0,222.0,0.000130268343918,0.0483893527976,Starrett City,-73.88291614149992,40.646715413676645
Queens,223.0,223.0,0.00076436070058,0.166021925275,Steinway,-73.90584402349992,40.778401845890905
Brooklyn,227.0,227.0,0.000268316529534,0.0828301570789,Sunset Park East,-74.00294706299992,40.641534597999936
Brooklyn,228.0,228.0,0.000993414783816,0.177685177706,Sunset Park West,-74.00995813949477,40.653592800499915
Manhattan,229.0,229.0,9.47058230931e-05,0.0425252900116,Sutton Place/Turtle Bay North,-73.96499747655662,40.75657363039551
Manhattan,230.0,230.0,5.60914463266e-05,0.0310283096779,Times Sq/Theatre District,-73.98419627399991,40.75981693399996
Manhattan,231.0,231.0,0.000166929752992,0.0634201165587,TriBeCa/Civic Center,-74.00726426169041,40.718576348499894
Manhattan,239.0,239.0,0.000204715440774,0.0636261152958,Upper West Side South,-73.97873159717165,40.784024563233686
Manhattan,232.0,232.0,0.000216049973456,0.0614709085331,Two Bridges/Seward Park,-73.98302108862248,40.71529991058124
Manhattan,233.0,233.0,0.000116188094682,0.048035918294,UN/Turtle Bay South,-73.96997990593074,40.749123894014915
Manhattan,234.0,234.0,7.31054382894e-05,0.0360721994984,Union Sq,-73.99045739599995,40.7402367139999
Bronx,235.0,235.0,0.000212844547337,0.0761668426519,University Heights/Morris Heights,-73.91638290393412,40.85370968599989
Manhattan,236.0,236.0,0.000102864345211,0.0442519223099,Upper East Side North,-73.95700953199992,40.78043963049993
Manhattan,237.0,237.0,9.59873206621e-05,0.0422126003388,Upper East Side South,-73.96563511049996,40.76861400849992
Manhattan,238.0,238.0,0.000184763693765,0.0601093114033,Upper West Side North,-73.97303122261616,40.79178324542308
Bronx,240.0,240.0,0.000722130920707,0.146069764379,Van Cortlandt Park,-73.88054258199983,40.89477328696154
Bronx,241.0,241.0,0.00025467697592,0.0687645777649,Van Cortlandt Village,-73.89587824299987,40.87601205349996
Queens,258.0,258.0,0.000366209617143,0.0890133787693,Woodhaven,-73.85494030049989,40.689977295999924
Bronx,242.0,242.0,0.000360072450014,0.138136446433,Van Nest/Morris Park,-73.8510353014999,40.849633430499914
Staten Island,245.0,245.0,0.000466175414294,0.0959830596604,West Brighton,-74.10069559899995,40.62838706499991
Manhattan,263.0,263.0,6.57697664169e-05,0.0370166252994,Yorkville West,-73.95100837249986,40.778766265999934
Manhattan,243.0,243.0,0.000438377341503,0.0943314999364,Washington Heights North,-73.9357980222621,40.858636550935785
Manhattan,244.0,244.0,0.000359702747951,0.0805686044599,Washington Heights South,-73.9407743822414,40.84119443549991
Queens,253.0,253.0,7.83395761191e-05,0.0360514998192,Willets Point,-73.84175020507486,40.76039128611463
Manhattan,246.0,246.0,0.000281298327076,0.0694671937437,West Chelsea/Hudson Yards,-74.0038113169179,40.7524116126781
Bronx,247.0,247.0,0.000205617157843,0.0929678582271,West Concourse,-73.92250501292031,40.82918287949994
Bronx,248.0,248.0,0.000149592769799,0.0569191167671,West Farms/Bronx River,-73.87330604599998,40.834681044499945
Manhattan,249.0,249.0,7.22155957729e-05,0.03638434365,West Village,-74.00196507349995,40.73461060499992
Brooklyn,257.0,257.0,0.00013890947321,0.0586690259793,Windsor Terrace,-73.97963624499985,40.65347735549993
Bronx,250.0,250.0,0.000240975845956,0.0796263465454,Westchester Village/Unionport,-73.84985149349995,40.832612838999864
Staten Island,251.0,251.0,0.000625754983157,0.1377111611,Westerleigh,-74.12365656199992,40.61956878299993
Queens,252.0,252.0,0.00102526406057,0.158004373564,Whitestone,-73.81569915799992,40.7883107899095
Bronx,254.0,254.0,0.000360040216032,0.0858863754861,Williamsbridge/Olinville,-73.85823380549994,40.88331035549993
Brooklyn,255.0,255.0,0.000172309184842,0.0623841997664,Williamsburg (North Side),-73.95728866733344,40.71879296345271
Brooklyn,256.0,256.0,0.000168611097013,0.0679149669603,Williamsburg (South Side),-73.95933243361253,40.71097846301373
Bronx,259.0,259.0,0.000394552487366,0.126750305191,Woodlawn/Wakefield,-73.85633414049992,40.89906074355065
Queens,260.0,260.0,0.000422345326907,0.133514154636,Woodside,-73.90685097249985,40.74660325849994
Manhattan,261.0,261.0,3.43423231652e-05,0.0271204563616,World Trade Center,-74.01264349249996,40.70911981499988
Manhattan,262.0,262.0,0.000122330270966,0.0490636231541,Yorkville East,-73.94514204811304,40.77668136300471
